#{"t_start": 1645379623.556783, "env_id": null}
r,l,t
1.261905,12,87.082778
1.238095,11,87.197649
1.190476,9,87.29465
1.142857,7,87.377825
-9.761905,11,87.577831
1.238095,11,87.815825
1.333333,15,87.975827
1.285714,13,88.106826
1.214286,10,88.225826
1.166667,8,88.314332
1.214286,10,88.422711
1.119048,6,88.490708
-0.761905,11,88.607707
1.071429,4,88.667707
-0.714286,13,88.82971
-0.714286,13,89.03171
1.142857,7,89.114173
1.095238,5,89.178175
1.261905,12,89.379174
1.309524,14,89.525172
1.190476,9,89.62317
-0.761905,11,89.75117
1.333333,15,89.903172
-0.880952,6,89.978175
-0.785714,10,90.089171
1.166667,8,90.17817
-0.809524,9,90.281184
-9.690476,14,90.419172
1.119048,6,90.49017
1.214286,10,90.598853
-9.785714,10,90.78424
1.190476,9,90.905241
-0.857143,7,91.004237
-0.738095,12,91.137241
1.119048,6,91.208241
1.309524,14,91.352447
-9.738095,12,91.475447
1.190476,9,91.575447
1.119048,6,91.645451
-9.833333,8,91.731451
1.190476,9,91.830234
1.190476,9,91.93023
1.190476,9,92.028233
1.238095,11,92.144228
-9.595238,18,92.400233
-0.880952,6,92.475228
-0.809524,9,92.58023
1.095238,5,92.643228
-0.738095,12,92.777068
-0.833333,8,92.874067
-0.833333,8,92.966073
-9.666667,15,93.11607
1.261905,12,93.245072
1.214286,10,93.35366
-9.690476,14,93.491666
1.214286,10,93.603661
-0.761905,11,93.82066
1.071429,4,93.87466
-0.785714,10,93.987661
1.238095,11,94.104661
1.285714,13,94.245659
-0.761905,11,94.37266
1.333333,15,94.534661
-0.785714,10,94.653147
-9.714286,13,94.787149
-0.785714,10,94.900045
-0.833333,8,94.995316
1.333333,15,95.14927
1.261905,12,95.34919
1.119048,6,95.420713
1.238095,11,95.538724
1.166667,8,95.625735
1.142857,7,95.70775
1.238095,11,95.832765
1.309524,14,95.977784
-9.714286,13,96.106813
1.261905,12,96.232827
-0.857143,7,96.315843
-0.904762,5,96.380845
